,data,PICP_good,PICP_bad,PICP_mean,PICP_std,MPIW_good,MPIW_bad,MPIW_mean,MPIW_std,RMSE_good,RMSE_bad,RMSE_mean,RMSE_std,R2_good,R2_bad,R2_mean,R2_std,MPIW_4GoodPICP
0,boston,0.941,0.882,0.9455185185185185,0.031688836144332204,1.21,1.8090000000000002,1.4113703703703704,0.15086599967371664,0.23,0.405,0.30111111111111116,0.042738321241762675,0.937,0.81,0.8999629629629629,0.03272670220228489,1.2886666666666666
1,concrete,0.951,0.893,0.9384074074074074,0.021421160026153963,1.354,2.244,1.7222962962962962,0.23255252753448644,0.292,0.43200000000000005,0.3607037037037037,0.035497361564807574,0.89,0.769,0.8516296296296296,0.032135707611684904,1.7426249999999999
2,energy,0.948,0.87,0.9475185185185184,0.026613140725199273,0.5670000000000001,2.126,1.0443703703703704,0.39419403150343924,0.155,0.28,0.20859259259259255,0.028299577679995462,0.9740000000000001,0.929,0.9550740740740742,0.010723539620587122,0.8638888888888888
3,kin8nm,0.951,0.927,0.9395925925925925,0.006422671737735953,1.245,1.757,1.3942962962962966,0.12902826607876833,0.32299999999999995,0.39,0.36040740740740745,0.01646268334810408,0.895,0.848,0.8712592592592592,0.011130666551996697,1.465
4,naval,0.9490000000000001,0.9359999999999999,0.9461481481481483,0.006042819665989491,0.34,0.9940000000000001,0.5303333333333334,0.125010153433785,0.115,0.28300000000000003,0.1524074074074074,0.03567940502614839,0.987,0.919,0.975962962962963,0.013799335216656342,0.5343333333333334
5,power,0.95,0.9640000000000001,0.9561481481481482,0.004302983792169061,0.8959999999999999,1.5859999999999999,1.1685925925925924,0.2222616717120851,0.23399999999999999,0.256,0.24033333333333337,0.0057712816867393,0.945,0.937,0.9427777777777778,0.0018257418583505387,1.44
6,protein,0.95,0.941,0.9477037037037038,0.0027985547755777244,2.764,2.925,2.8069629629629627,0.037922473022127104,0.753,0.784,0.7703333333333333,0.00803358335604116,0.42100000000000004,0.382,0.40155555555555544,0.01033416043009165,2.8013333333333335
7,wine,0.9440000000000001,0.9059999999999999,0.9513703703703704,0.020462250699854707,2.773,3.162,2.945925925925925,0.1026832043512494,0.6759999999999999,0.79,0.740074074074074,0.04034936461793698,0.385,0.162,0.29833333333333334,0.0820121942152507,3.015
8,yacht,0.935,0.8059999999999999,0.9269999999999998,0.04536772827937022,0.166,0.655,0.3038888888888889,0.11677602932811608,0.036000000000000004,0.07400000000000001,0.05362962962962964,0.010525237611599408,0.998,0.995,0.9966666666666666,0.0010741723110591502,0.2563333333333333
