,data,PICP_good,PICP_bad,PICP_mean,PICP_std,MPIW_good,MPIW_bad,MPIW_mean,MPIW_std,RMSE_good,RMSE_bad,RMSE_mean,RMSE_std,R2_good,R2_bad,R2_mean,R2_std,MPIW_4GoodPICP
0,boston,0.922,0.804,0.8693333333333333,0.033992646263567065,0.19572860900864075,0.2233076138531811,0.20910648449293268,0.009542068226818076,2.32,3.167,2.670555555555555,0.24790074178545282,0.917,0.847,0.8927777777777776,0.02206681772355146,0.21260531346574751
1,concrete,1.0,1.0,1.0,0.0,171.98028333452925,217.69144125747613,191.62262059843468,14.765691223316235,4.909,5.505,5.249666666666667,0.17677598818844142,0.897,0.84,0.8688888888888888,0.019528469246490144,191.62262059843468
2,energy,0.961,1.0,0.9812222222222222,0.017333333333333343,1.1858199369297964,91.45588085621289,48.163617719048816,40.166455428183966,2.0580000000000003,2.478,2.1845555555555554,0.1268858848642267,0.9470000000000001,0.922,0.9376666666666664,0.007762087348130014,86.28366746861327
3,kin8nm,1.0,1.0,1.0,0.0,725.2044277198888,728.249513888805,727.561433693341,0.9451623852450473,0.057,0.066,0.061000000000000006,0.0030413812651491107,0.912,0.873,0.8992222222222223,0.012696237412889076,727.561433693341
4,naval,1.0,1.0,1.0,0.0,1173.465010476468,1173.465010476468,1173.465010476468,0.0,0.001,0.002,0.0011111111111111113,0.0003333333333333333,0.9540000000000001,0.8809999999999999,0.9224444444444444,0.026424946126298532,1173.465010476468
5,power,1.0,1.0,1.0,0.0,583.0015481549458,883.7705600901667,704.8431565314958,103.88030886051185,2.677,2.8930000000000002,2.816333333333333,0.07955029855380807,0.95,0.9420000000000001,0.947,0.0034278273002004886,704.8431565314958
6,protein,0.992,1.0,0.9977777777777779,0.002948634335492346,3.2382528821383194,115.26950470350985,40.30162560242875,42.79002655963439,3.9330000000000003,4.277,4.160888888888889,0.11069941784449948,0.34,0.29,0.3124444444444444,0.017234493835844966,3.2382528821383194
7,wine,0.9690000000000001,0.9940000000000001,0.9813333333333334,0.00776208734813002,0.6504050249473535,0.7129439696538298,0.6787235254508056,0.019419423048350825,0.525,0.58,0.5597777777777778,0.021660896667599957,0.387,0.33799999999999997,0.35733333333333334,0.015795568998931333,0.6520294131215477
8,yacht,0.935,0.71,0.8385555555555556,0.07014469172915214,0.05214237949865923,0.1066987580481823,0.07134708305886499,0.018210943531125366,1.405,3.385,2.090444444444445,0.6616037543558664,0.991,0.945,0.9782222222222222,0.014914571547464743,0.0624018754648306
