,data,PICP_good,PICP_bad,PICP_mean,PICP_std,MPIW_good,MPIW_bad,MPIW_mean,MPIW_std,RMSE_good,RMSE_bad,RMSE_mean,RMSE_std,R2_good,R2_bad,R2_mean,R2_std,MPIW_4GoodPICP
0,boston,0.941,0.882,0.913,0.020099751242241778,0.24868800123349247,0.30623563788256514,0.27257483771560753,0.022690010375159927,0.27,0.405,0.33588888888888885,0.045355386792652434,0.915,0.81,0.8669999999999999,0.0363042697213427,0.2624583285745206
1,concrete,0.951,0.9129999999999999,0.943888888888889,0.017222401432759337,0.2846541158168039,0.4017533348049573,0.3432154048659362,0.03874449417430462,0.292,0.33799999999999997,0.31933333333333336,0.013674794331177336,0.89,0.853,0.8683333333333333,0.01105667219374799,0.3163991464581165
2,energy,0.948,0.87,0.9451111111111109,0.03235523313331418,0.164194941793664,0.429373627131788,0.2869057503189931,0.09209959323221384,0.191,0.245,0.21088888888888888,0.017926547662924702,0.96,0.935,0.9511111111111111,0.00837323779138698,0.26312303661457265
3,kin8nm,0.943,0.93,0.9380000000000001,0.004272001872658717,0.2396770074062421,0.3259384690501296,0.2666375789307833,0.03171938025073082,0.349,0.39,0.36777777777777776,0.013236103824178948,0.882,0.853,0.8694444444444444,0.009261629326299883,0.26657574275756185
4,naval,0.9490000000000001,0.9359999999999999,0.9456666666666668,0.0069101374805426155,0.11797322007904205,0.2983851927698927,0.16880476867968108,0.05300902675118415,0.115,0.28300000000000003,0.1637777777777778,0.049628061058683774,0.987,0.919,0.9706666666666668,0.02053655277791283,0.16450209822726475
5,power,0.95,0.9620000000000001,0.954888888888889,0.0034439963866286587,0.20256374258217677,0.3585559104188977,0.2680000706360669,0.05571194123456628,0.23800000000000002,0.239,0.23844444444444443,0.0005270462766947157,0.943,0.943,0.9429999999999998,1.1775693440128312e-16,0.32554887200706983
6,protein,0.9490000000000001,0.9540000000000001,0.9488888888888888,0.002368778400592005,0.8062194404475392,0.8321794730813422,0.8163312134584586,0.008483995098657765,0.753,0.772,0.763,0.005809475019311124,0.419,0.39,0.404,0.009055385138137423,0.8136574273257636
7,wine,0.9440000000000001,0.9690000000000001,0.9568888888888887,0.01043365281725973,0.4863937322917682,0.5171408814749735,0.5002226805946165,0.01067745821790919,0.7559999999999999,0.79,0.777888888888889,0.012097979629306352,0.233,0.162,0.18811111111111115,0.024856812167112486,0.49718794423906365
8,yacht,0.935,1.0,0.9497777777777779,0.04003678863800696,0.04125792769238737,0.1205812053390607,0.07454805453412851,0.02570952480436861,0.036000000000000004,0.05,0.041555555555555554,0.005027701042999451,0.998,0.997,0.9977777777777779,0.0004409585518440988,0.052063575421345966
