,data,PICP_good,PICP_bad,PICP_mean,PICP_std,MPIW_good,MPIW_bad,MPIW_mean,MPIW_std,RMSE_good,RMSE_bad,RMSE_mean,RMSE_std,MPIW_4GoodPICP
0,boston,0.9411799999999999,0.39216,0.764996469135808,0.16765722492315446,0.055639999999999995,0.5423600000000001,0.2738774814814822,0.13505723931034724,0.17507141400011597,0.5400740689942445,0.3049874330125186,0.09984174766915188,0.5304800000000001
1,concrete,0.9514600000000001,0.52427,0.8279762962962952,0.1191167247077961,0.09785,0.6572899999999999,0.3492191358024705,0.1608952076794856,0.18384776310850234,0.535172869267492,0.2888519808144526,0.09191740979224176,0.26241
2,energy,0.94805,0.5844199999999999,0.8270639506172884,0.11369976666657967,0.05545,0.54933,0.2669926419753082,0.18004446400015933,0.09879271228182775,0.43907858066637684,0.2087663223093874,0.10403772040222192,0.15765
3,kin8nm,0.95,0.5573199999999999,0.858768469135803,0.13372616238184581,0.14439000000000002,0.64415,0.37671656790123587,0.14272791199371684,0.18756332264064848,0.5180250959171766,0.30023172022352246,0.10555094130043538,0.5273399999999999
4,naval,0.94975,0.54271,0.8658478271604937,0.14045574523258167,0.03723,1.04595,0.643575851851852,0.34414362046094715,0.060332412515993424,0.46531709618280737,0.26966235595734445,0.11688341784886998,0.36067
5,power,0.94984,0.55695,0.8827376296296281,0.12704429390967517,0.16673,0.5803,0.3124214567901241,0.13475188147504155,0.16031219541881397,0.44654227123532214,0.23558191831045566,0.09534333400960479,0.20929
6,protein,0.9499200000000001,0.50776,0.8735727222222246,0.13427937302485243,0.55382,0.87992,0.7501304135802472,0.08911541640286778,0.2572741728195817,0.42673176586703737,0.2958903114510332,0.04565761489530474,0.83421
7,wine,0.95,0.41875,0.850648148148152,0.12211053717318648,0.19776,0.53191,0.3734814814814826,0.10969413419477586,0.28684490582891653,0.49586288427346525,0.35651471010117436,0.06109725334977779,0.39973000000000003
8,yacht,0.93548,0.48386999999999997,0.8249303950617367,0.12916256432140036,0.00968,0.7034600000000001,0.2463647901234569,0.23855089502918927,0.05089204259999789,0.5206342286096833,0.20728480718040648,0.1406118152586183,0.13427999999999998
