EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
51 1 20 100 160.0 25.0 0.968 0.619 2.453 0.965 0.627 2.186 0.05 qd_soft ~yacht [100] 1 1
52 1 20 100 200.0 5.0 0.935 0.385 1.539 0.986 0.4 1.521 0.05 qd_soft ~yacht [100] 1 1
53 1 20 100 200.0 15.0 0.935 0.823 2.942 0.95 0.853 2.393 0.05 qd_soft ~yacht [100] 1 1
54 1 20 100 200.0 25.0 0.935 0.918 2.918 0.951 0.975 2.414 0.05 qd_soft ~yacht [100] 1 1
55 1 30 50 100.0 5.0 0.968 0.373 1.218 0.991 0.379 1.534 0.05 qd_soft ~yacht [50] 1 1
56 1 30 50 100.0 15.0 0.935 0.804 2.337 0.969 0.85 2.385 0.05 qd_soft ~yacht [50] 1 1
57 1 30 50 100.0 25.0 0.935 0.618 2.798 0.955 0.662 2.489 0.05 qd_soft ~yacht [50] 1 1
58 1 30 50 160.0 5.0 0.903 0.396 2.233 0.971 0.438 2.085 0.05 qd_soft ~yacht [50] 1 1
59 1 30 50 160.0 15.0 0.903 0.859 3.638 0.924 1.078 2.697 0.05 qd_soft ~yacht [50] 1 1
60 1 30 50 160.0 25.0 0.935 0.971 3.704 0.921 1.017 2.445 0.05 qd_soft ~yacht [50] 1 1
61 1 30 50 200.0 5.0 0.903 0.431 2.186 0.973 0.486 1.823 0.05 qd_soft ~yacht [50] 1 1
62 1 30 50 200.0 15.0 0.968 0.744 3.466 0.931 0.727 2.16 0.05 qd_soft ~yacht [50] 1 1
63 1 30 50 200.0 25.0 0.968 1.128 5.047 0.854 1.162 2.972 0.05 qd_soft ~yacht [50] 1 1
64 1 30 75 100.0 5.0 0.968 0.286 0.933 0.995 0.284 1.178 0.05 qd_soft ~yacht [75] 1 1
65 1 30 75 100.0 15.0 0.968 0.669 2.539 0.963 0.685 1.965 0.05 qd_soft ~yacht [75] 1 1
66 1 30 75 100.0 25.0 0.968 0.724 2.18 0.973 0.723 2.14 0.05 qd_soft ~yacht [75] 1 1
67 1 30 75 160.0 5.0 0.871 0.391 2.319 0.969 0.577 5.63 0.05 qd_soft ~yacht [75] 1 1
68 1 30 75 160.0 15.0 0.935 0.651 2.251 0.971 0.685 2.075 0.05 qd_soft ~yacht [75] 1 1
69 1 30 75 160.0 25.0 0.935 0.838 2.856 0.953 0.875 2.315 0.05 qd_soft ~yacht [75] 1 1
70 1 30 75 200.0 5.0 0.935 0.529 2.903 0.952 0.524 1.883 0.05 qd_soft ~yacht [75] 1 1
71 1 30 75 200.0 15.0 0.968 0.692 2.681 0.959 0.71 2.099 0.05 qd_soft ~yacht [75] 1 1
72 1 30 75 200.0 25.0 0.935 1.375 5.524 0.825 1.396 3.064 0.05 qd_soft ~yacht [75] 1 1
73 1 30 100 100.0 5.0 1.0 0.249 0.797 0.996 0.249 1.068 0.05 qd_soft ~yacht [100] 1 1
74 1 30 100 100.0 15.0 1.0 0.997 2.99 0.949 0.996 2.478 0.05 qd_soft ~yacht [100] 1 1
75 1 30 100 100.0 25.0 1.0 1.022 4.477 0.885 1.022 2.742 0.05 qd_soft ~yacht [100] 1 1
76 1 30 100 160.0 5.0 0.871 0.239 1.251 0.991 0.412 1.315 0.05 qd_soft ~yacht [100] 1 1
77 1 30 100 160.0 15.0 0.935 0.549 2.376 0.968 0.567 2.038 0.05 qd_soft ~yacht [100] 1 1
78 1 30 100 160.0 25.0 1.0 0.703 2.557 0.962 0.703 2.027 0.05 qd_soft ~yacht [100] 1 1
79 1 30 100 200.0 5.0 1.0 0.403 1.245 0.991 0.403 1.421 0.05 qd_soft ~yacht [100] 1 1
80 1 30 100 200.0 15.0 0.968 0.761 2.235 0.971 0.778 2.096 0.05 qd_soft ~yacht [100] 1 1
81 1 30 100 200.0 25.0 0.903 1.034 3.731 0.92 1.365 2.794 0.05 qd_soft ~yacht [100] 1 1
82 2 10 50 100.0 5.0 0.903 0.209 0.825 0.996 0.275 1.018 0.05 qd_soft ~yacht [50] 1 1
83 2 10 50 100.0 15.0 1.0 0.503 1.775 0.981 0.503 1.791 0.05 qd_soft ~yacht [50] 1 1
84 2 10 50 100.0 25.0 0.935 0.606 2.742 0.955 0.644 2.078 0.05 qd_soft ~yacht [50] 1 1
85 2 10 50 160.0 5.0 0.903 0.243 1.485 0.987 0.303 1.783 0.05 qd_soft ~yacht [50] 1 1
86 2 10 50 160.0 15.0 0.968 0.987 3.742 0.917 1.014 2.739 0.05 qd_soft ~yacht [50] 1 1
87 2 10 50 160.0 25.0 1.0 1.358 3.688 0.919 1.358 2.722 0.05 qd_soft ~yacht [50] 1 1
88 2 10 50 200.0 5.0 0.935 0.345 1.444 0.988 0.348 1.565 0.05 qd_soft ~yacht [50] 1 1
89 2 10 50 200.0 15.0 0.903 0.815 3.707 0.918 1.028 2.723 0.05 qd_soft ~yacht [50] 1 1
90 2 10 50 200.0 25.0 0.903 0.81 3.547 0.925 1.156 16.232 0.05 qd_soft ~yacht [50] 1 1
91 2 10 75 100.0 5.0 1.0 0.222 0.808 0.996 0.222 0.995 0.05 qd_soft ~yacht [75] 1 1
92 2 10 75 100.0 15.0 1.0 0.767 1.935 0.978 0.767 2.087 0.05 qd_soft ~yacht [75] 1 1
93 2 10 75 100.0 25.0 0.935 0.522 1.581 0.985 0.569 2.017 0.05 qd_soft ~yacht [75] 1 1
94 2 10 75 160.0 5.0 1.0 0.851 2.733 0.956 0.851 2.404 0.05 qd_soft ~yacht [75] 1 1
95 2 10 75 160.0 15.0 1.0 0.537 1.531 0.986 0.537 1.743 0.05 qd_soft ~yacht [75] 1 1
