EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
52 1 20 100 200.0 5.0 0.902 2.224 5.255 0.264 3.011 3.893 0.05 qd_soft ~protein [100] 1 1
53 1 20 100 200.0 15.0 0.933 2.446 5.385 0.227 2.76 3.26 0.05 qd_soft ~protein [100] 1 1
54 1 20 100 200.0 25.0 0.946 2.565 5.573 0.172 2.591 3.266 0.05 qd_soft ~protein [100] 1 1
55 1 30 50 100.0 5.0 0.9 2.195 5.188 0.283 3.05 4.322 0.05 qd_soft ~protein [50] 1 1
56 1 30 50 100.0 15.0 0.934 2.443 5.336 0.241 2.724 3.228 0.05 qd_soft ~protein [50] 1 1
57 1 30 50 100.0 25.0 0.94 2.537 5.476 0.201 2.719 3.246 0.05 qd_soft ~protein [50] 1 1
58 1 30 50 160.0 5.0 0.901 2.237 5.244 0.267 3.057 3.352 0.05 qd_soft ~protein [50] 1 1
59 1 30 50 160.0 15.0 0.93 2.456 5.43 0.214 2.855 3.335 0.05 qd_soft ~protein [50] 1 1
60 1 30 50 160.0 25.0 0.941 2.591 5.607 0.162 2.748 3.284 0.05 qd_soft ~protein [50] 1 1
61 1 30 50 200.0 5.0 0.901 2.266 5.302 0.25 3.114 8.979 0.05 qd_soft ~protein [50] 1 1
62 1 30 50 200.0 15.0 0.933 2.497 5.476 0.201 2.803 3.27 0.05 qd_soft ~protein [50] 1 1
63 1 30 50 200.0 25.0 0.945 2.615 5.685 0.138 2.668 3.319 0.05 qd_soft ~protein [50] 1 1
64 1 30 75 100.0 5.0 0.902 2.197 5.204 0.278 2.982 3.512 0.05 qd_soft ~protein [75] 1 1
65 1 30 75 100.0 15.0 0.932 2.418 5.374 0.23 2.763 3.253 0.05 qd_soft ~protein [75] 1 1
66 1 30 75 100.0 25.0 0.943 2.544 5.52 0.188 2.633 3.554 0.05 qd_soft ~protein [75] 1 1
67 1 30 75 160.0 5.0 0.901 2.205 5.236 0.269 3.035 3.826 0.05 qd_soft ~protein [75] 1 1
68 1 30 75 160.0 15.0 0.933 2.44 5.371 0.231 2.746 3.248 0.05 qd_soft ~protein [75] 1 1
69 1 30 75 160.0 25.0 0.94 2.546 5.458 0.206 2.717 3.227 0.05 qd_soft ~protein [75] 1 1
70 1 30 75 200.0 5.0 0.898 2.252 5.304 0.25 3.179 3.353 0.05 qd_soft ~protein [75] 1 1
71 1 30 75 200.0 15.0 0.935 2.487 5.434 0.213 2.726 21.771 0.05 qd_soft ~protein [75] 1 1
