EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
52 1 20 100 200.0 5.0 0.894 1.747 0.574 0.336 1.97 4.28 0.05 qd_soft ~wine [100] 1 1
53 1 20 100 200.0 15.0 0.906 2.252 0.548 0.395 2.663 1.167 0.05 qd_soft ~wine [100] 1 1
54 1 20 100 200.0 25.0 0.906 2.157 0.567 0.353 2.767 0.985 0.05 qd_soft ~wine [100] 1 1
55 1 30 50 100.0 5.0 0.881 1.654 0.605 0.264 1.962 2.139 0.05 qd_soft ~wine [50] 1 1
56 1 30 50 100.0 15.0 0.925 1.942 0.606 0.26 2.078 2.511 0.05 qd_soft ~wine [50] 1 1
57 1 30 50 100.0 25.0 0.931 2.133 0.569 0.348 2.262 1.235 0.05 qd_soft ~wine [50] 1 1
58 1 30 50 160.0 5.0 0.894 1.781 0.591 0.296 1.986 1.667 0.05 qd_soft ~wine [50] 1 1
59 1 30 50 160.0 15.0 0.919 2.058 0.569 0.349 2.289 2.017 0.05 qd_soft ~wine [50] 1 1
60 1 30 50 160.0 25.0 0.938 2.301 0.55 0.392 2.36 0.978 0.05 qd_soft ~wine [50] 1 1
61 1 30 50 200.0 5.0 0.888 1.706 0.592 0.293 1.95 1.821 0.05 qd_soft ~wine [50] 1 1
62 1 30 50 200.0 15.0 0.938 2.068 0.596 0.285 2.117 2.037 0.05 qd_soft ~wine [50] 1 1
63 1 30 50 200.0 25.0 0.944 2.402 0.561 0.366 2.438 0.934 0.05 qd_soft ~wine [50] 1 1
64 1 30 75 100.0 5.0 0.888 1.655 0.585 0.312 1.913 2.195 0.05 qd_soft ~wine [75] 1 1
65 1 30 75 100.0 15.0 0.925 1.974 0.596 0.286 2.103 1.456 0.05 qd_soft ~wine [75] 1 1
66 1 30 75 100.0 25.0 0.919 2.159 0.569 0.349 2.476 1.095 0.05 qd_soft ~wine [75] 1 1
67 1 30 75 160.0 5.0 0.888 1.637 0.6 0.276 1.892 2.305 0.05 qd_soft ~wine [75] 1 1
68 1 30 75 160.0 15.0 0.912 1.99 0.575 0.335 2.285 5.684 0.05 qd_soft ~wine [75] 1 1
69 1 30 75 160.0 25.0 0.931 2.447 0.549 0.393 2.59 0.913 0.05 qd_soft ~wine [75] 1 1
70 1 30 75 200.0 5.0 0.894 1.726 0.585 0.31 1.941 2.983 0.05 qd_soft ~wine [75] 1 1
71 1 30 75 200.0 15.0 0.925 2.039 0.56 0.368 2.175 1.191 0.05 qd_soft ~wine [75] 1 1
72 1 30 75 200.0 25.0 0.938 2.473 0.558 0.373 2.554 1.347 0.05 qd_soft ~wine [75] 1 1
73 1 30 100 100.0 5.0 0.869 1.642 0.609 0.253 2.07 182.645 0.05 qd_soft ~wine [100] 1 1
74 1 30 100 100.0 15.0 0.9 1.956 0.577 0.329 2.432 1.135 0.05 qd_soft ~wine [100] 1 1
75 1 30 100 100.0 25.0 0.925 2.1 0.54 0.413 2.313 0.962 0.05 qd_soft ~wine [100] 1 1
76 1 30 100 160.0 5.0 0.881 1.699 0.582 0.319 2.036 2.01 0.05 qd_soft ~wine [100] 1 1
77 1 30 100 160.0 15.0 0.906 2.064 0.566 0.354 2.469 3.09 0.05 qd_soft ~wine [100] 1 1
