EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
51 1 20 100 160.0 25.0 0.874 1.004 6.558 0.813 2.471 3.36 0.05 qd_soft ~concrete [100] 1 1
52 1 20 100 200.0 5.0 0.816 0.776 5.79 0.854 1.702 3.724 0.05 qd_soft ~concrete [100] 1 1
53 1 20 100 200.0 15.0 0.874 0.937 6.085 0.839 1.811 3.232 0.05 qd_soft ~concrete [100] 1 1
54 1 20 100 200.0 25.0 0.913 1.069 6.254 0.83 1.424 3.146 0.05 qd_soft ~concrete [100] 1 1
55 1 30 50 100.0 5.0 0.816 0.673 5.43 0.872 1.595 3.421 0.05 qd_soft ~concrete [50] 1 1
56 1 30 50 100.0 15.0 0.835 0.845 6.27 0.829 2.848 3.625 0.05 qd_soft ~concrete [50] 1 1
57 1 30 50 100.0 25.0 0.874 0.979 6.177 0.834 2.439 3.313 0.05 qd_soft ~concrete [50] 1 1
58 1 30 50 160.0 5.0 0.777 0.757 6.059 0.84 2.252 3.506 0.05 qd_soft ~concrete [50] 1 1
59 1 30 50 160.0 15.0 0.854 0.897 6.313 0.827 2.275 3.427 0.05 qd_soft ~concrete [50] 1 1
60 1 30 50 160.0 25.0 0.903 1.008 6.351 0.825 1.56 3.266 0.05 qd_soft ~concrete [50] 1 1
61 1 30 50 200.0 5.0 0.825 0.763 5.955 0.846 1.541 3.54 0.05 qd_soft ~concrete [50] 1 1
62 1 30 50 200.0 15.0 0.864 0.94 6.413 0.821 2.047 3.302 0.05 qd_soft ~concrete [50] 1 1
63 1 30 50 200.0 25.0 0.942 1.048 6.103 0.838 1.061 3.206 0.05 qd_soft ~concrete [50] 1 1
64 1 30 75 100.0 5.0 0.796 0.684 6.119 0.837 1.892 5.876 0.05 qd_soft ~concrete [75] 1 1
65 1 30 75 100.0 15.0 0.825 0.821 5.966 0.845 3.173 3.438 0.05 qd_soft ~concrete [75] 1 1
66 1 30 75 100.0 25.0 0.806 0.863 6.066 0.84 6.13 3.508 0.05 qd_soft ~concrete [75] 1 1
67 1 30 75 160.0 5.0 0.767 0.701 5.411 0.873 2.429 5.02 0.05 qd_soft ~concrete [75] 1 1
68 1 30 75 160.0 15.0 0.913 0.998 6.25 0.83 1.208 3.299 0.05 qd_soft ~concrete [75] 1 1
69 1 30 75 160.0 25.0 0.883 0.984 6.384 0.823 2.082 3.244 0.05 qd_soft ~concrete [75] 1 1
70 1 30 75 200.0 5.0 0.738 0.688 5.756 0.856 2.966 4.107 0.05 qd_soft ~concrete [75] 1 1
71 1 30 75 200.0 15.0 0.883 1.004 6.115 0.838 1.663 3.188 0.05 qd_soft ~concrete [75] 1 1
72 1 30 75 200.0 25.0 0.913 1.053 6.352 0.825 1.393 3.234 0.05 qd_soft ~concrete [75] 1 1
73 1 30 100 100.0 5.0 0.767 0.636 5.963 0.845 2.328 4.255 0.05 qd_soft ~concrete [100] 1 1
74 1 30 100 100.0 15.0 0.845 0.81 6.043 0.841 2.504 3.591 0.05 qd_soft ~concrete [100] 1 1
75 1 30 100 100.0 25.0 0.913 0.926 5.813 0.853 1.29 3.289 0.05 qd_soft ~concrete [100] 1 1
76 1 30 100 160.0 5.0 0.786 0.686 5.502 0.868 2.062 4.25 0.05 qd_soft ~concrete [100] 1 1
77 1 30 100 160.0 15.0 0.903 1.02 6.377 0.823 1.36 3.389 0.05 qd_soft ~concrete [100] 1 1
78 1 30 100 160.0 25.0 0.893 0.951 6.29 0.828 1.761 3.216 0.05 qd_soft ~concrete [100] 1 1
79 1 30 100 200.0 5.0 0.757 0.718 6.341 0.825 2.565 3.846 0.05 qd_soft ~concrete [100] 1 1
80 1 30 100 200.0 15.0 0.864 0.926 6.167 0.835 2.031 3.24 0.05 qd_soft ~concrete [100] 1 1
81 1 30 100 200.0 25.0 0.913 1.028 6.168 0.835 1.375 3.203 0.05 qd_soft ~concrete [100] 1 1
82 2 10 50 100.0 5.0 0.767 0.669 4.975 0.888 2.37 3.51 0.05 qd_soft ~concrete [50] 1 1
83 2 10 50 100.0 15.0 0.854 0.756 4.705 0.9 2.159 3.044 0.05 qd_soft ~concrete [50] 1 1
84 2 10 50 100.0 25.0 0.903 0.878 5.397 0.868 1.444 3.274 0.05 qd_soft ~concrete [50] 1 1
85 2 10 50 160.0 5.0 0.777 0.717 5.426 0.867 2.269 3.716 0.05 qd_soft ~concrete [50] 1 1
