EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
53 1 20 100 200.0 15.0 0.95 0.862 4.282 0.939 0.863 2.882 0.05 qd_soft ~power [100] 1 1
54 1 20 100 200.0 25.0 0.954 0.925 4.215 0.941 0.927 2.849 0.05 qd_soft ~power [100] 1 1
55 1 30 50 100.0 5.0 0.939 0.803 4.218 0.941 0.822 2.895 0.05 qd_soft ~power [50] 1 1
56 1 30 50 100.0 15.0 0.958 0.86 4.237 0.94 0.861 2.88 0.05 qd_soft ~power [50] 1 1
57 1 30 50 100.0 25.0 0.96 0.902 4.241 0.94 0.903 2.868 0.05 qd_soft ~power [50] 1 1
58 1 30 50 160.0 5.0 0.935 0.803 4.24 0.94 0.838 2.904 0.05 qd_soft ~power [50] 1 1
59 1 30 50 160.0 15.0 0.949 0.88 4.279 0.939 0.882 2.884 0.05 qd_soft ~power [50] 1 1
60 1 30 50 160.0 25.0 0.962 0.898 4.297 0.939 0.9 2.875 0.05 qd_soft ~power [50] 1 1
61 1 30 50 200.0 5.0 0.933 0.82 4.296 0.939 0.866 2.911 0.05 qd_soft ~power [50] 1 1
62 1 30 50 200.0 15.0 0.956 0.884 4.308 0.938 0.885 2.893 0.05 qd_soft ~power [50] 1 1
63 1 30 50 200.0 25.0 0.959 0.899 4.225 0.941 0.9 2.859 0.05 qd_soft ~power [50] 1 1
64 1 30 75 100.0 5.0 0.931 0.798 4.23 0.941 0.855 2.895 0.05 qd_soft ~power [75] 1 1
65 1 30 75 100.0 15.0 0.954 0.861 4.236 0.94 0.862 2.868 0.05 qd_soft ~power [75] 1 1
66 1 30 75 100.0 25.0 0.954 0.898 4.286 0.939 0.9 2.877 0.05 qd_soft ~power [75] 1 1
67 1 30 75 160.0 5.0 0.936 0.797 4.21 0.941 0.828 2.896 0.05 qd_soft ~power [75] 1 1
