EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
52 1 20 100 200.0 5.0 0.792 0.651 4.178 0.822 1.69 2.997 0.05 qd_soft ~energy [100] 1 1
53 1 20 100 200.0 15.0 0.831 0.779 3.786 0.854 2.553 2.438 0.05 qd_soft ~energy [100] 1 1
54 1 20 100 200.0 25.0 0.883 0.811 4.167 0.823 1.734 2.632 0.05 qd_soft ~energy [100] 1 1
55 1 30 50 100.0 5.0 0.818 0.704 4.3 0.812 1.414 3.175 0.05 qd_soft ~energy [50] 1 1
56 1 30 50 100.0 15.0 0.87 0.795 3.693 0.861 1.545 2.275 0.05 qd_soft ~energy [50] 1 1
57 1 30 50 100.0 25.0 0.909 0.877 3.845 0.849 1.192 2.379 0.05 qd_soft ~energy [50] 1 1
58 1 30 50 160.0 5.0 0.831 0.673 4.146 0.825 1.249 3.003 0.05 qd_soft ~energy [50] 1 1
59 1 30 50 160.0 15.0 0.818 0.85 3.941 0.842 3.067 2.55 0.05 qd_soft ~energy [50] 1 1
60 1 30 50 160.0 25.0 0.857 0.899 3.828 0.851 2.698 2.423 0.05 qd_soft ~energy [50] 1 1
61 1 30 50 200.0 5.0 0.805 0.711 4.324 0.81 1.596 3.157 0.05 qd_soft ~energy [50] 1 1
62 1 30 50 200.0 15.0 0.844 0.789 4.211 0.819 2.209 2.93 0.05 qd_soft ~energy [50] 1 1
63 1 30 50 200.0 25.0 0.87 0.93 3.998 0.837 2.265 2.558 0.05 qd_soft ~energy [50] 1 1
64 1 30 75 100.0 5.0 0.87 0.669 4.198 0.821 0.897 2.859 0.05 qd_soft ~energy [75] 1 1
65 1 30 75 100.0 15.0 0.857 0.79 3.685 0.862 1.829 2.233 0.05 qd_soft ~energy [75] 1 1
66 1 30 75 100.0 25.0 0.857 0.85 3.761 0.856 2.649 2.356 0.05 qd_soft ~energy [75] 1 1
67 1 30 75 160.0 5.0 0.805 0.664 3.935 0.842 1.49 2.62 0.05 qd_soft ~energy [75] 1 1
68 1 30 75 160.0 15.0 0.831 0.749 4.085 0.83 2.553 2.744 0.05 qd_soft ~energy [75] 1 1
69 1 30 75 160.0 25.0 0.857 0.841 3.803 0.853 2.651 2.44 0.05 qd_soft ~energy [75] 1 1
70 1 30 75 200.0 5.0 0.792 0.707 4.019 0.836 1.752 2.826 0.05 qd_soft ~energy [75] 1 1
71 1 30 75 200.0 15.0 0.831 0.886 4.112 0.828 2.663 2.558 0.05 qd_soft ~energy [75] 1 1
72 1 30 75 200.0 25.0 0.857 0.931 4.119 0.827 2.757 2.483 0.05 qd_soft ~energy [75] 1 1
73 1 30 100 100.0 5.0 0.844 0.67 4.179 0.822 1.122 2.971 0.05 qd_soft ~energy [100] 1 1
74 1 30 100 100.0 15.0 0.87 0.796 3.723 0.859 1.538 2.307 0.05 qd_soft ~energy [100] 1 1
75 1 30 100 100.0 25.0 0.844 0.824 3.862 0.848 3.211 2.416 0.05 qd_soft ~energy [100] 1 1
76 1 30 100 160.0 5.0 0.792 0.69 3.946 0.841 1.699 2.576 0.05 qd_soft ~energy [100] 1 1
77 1 30 100 160.0 15.0 0.844 0.831 3.772 0.855 2.186 2.337 0.05 qd_soft ~energy [100] 1 1
78 1 30 100 160.0 25.0 0.87 0.865 4.097 0.829 2.188 2.566 0.05 qd_soft ~energy [100] 1 1
79 1 30 100 200.0 5.0 0.779 0.666 4.258 0.815 1.896 3.127 0.05 qd_soft ~energy [100] 1 1
80 1 30 100 200.0 15.0 0.831 0.813 4.08 0.83 2.591 2.64 0.05 qd_soft ~energy [100] 1 1
81 1 30 100 200.0 25.0 0.857 0.858 3.879 0.847 2.667 8.621 0.05 qd_soft ~energy [100] 1 1
82 2 10 50 100.0 5.0 0.896 0.694 3.447 0.858 0.781 2.477 0.05 qd_soft ~energy [50] 1 1
83 2 10 50 100.0 15.0 0.909 0.778 3.231 0.875 0.946 2.19 0.05 qd_soft ~energy [50] 1 1
84 2 10 50 100.0 25.0 0.896 0.806 3.356 0.865 1.394 2.251 0.05 qd_soft ~energy [50] 1 1
85 2 10 50 160.0 5.0 0.87 0.678 3.561 0.848 0.923 2.578 0.05 qd_soft ~energy [50] 1 1
86 2 10 50 160.0 15.0 0.87 0.8 3.277 0.871 1.608 2.137 0.05 qd_soft ~energy [50] 1 1
87 2 10 50 160.0 25.0 0.909 0.879 3.376 0.864 1.201 2.226 0.05 qd_soft ~energy [50] 1 1
88 2 10 50 200.0 5.0 0.844 0.67 3.511 0.852 1.146 2.719 0.05 qd_soft ~energy [50] 1 1
89 2 10 50 200.0 15.0 0.909 0.797 3.482 0.855 0.976 2.49 0.05 qd_soft ~energy [50] 1 1
90 2 10 50 200.0 25.0 0.935 0.966 3.598 0.845 0.975 2.403 0.05 qd_soft ~energy [50] 1 1
