EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
51 1 20 100 160.0 25.0 0.961 3.269 0.008 0.003 3.273 -3.42 0.05 qd_soft ~naval [100] 1 1
52 1 20 100 200.0 5.0 1.0 29.343 0.025 -10.136 29.343 -2.554 0.05 qd_soft ~naval [100] 1 1
53 1 20 100 200.0 15.0 1.0 30.164 0.023 -8.335 30.164 -2.547 0.05 qd_soft ~naval [100] 1 1
54 1 20 100 200.0 25.0 1.0 30.515 0.024 -8.819 30.515 -2.547 0.05 qd_soft ~naval [100] 1 1
55 1 30 50 100.0 5.0 0.899 3.083 0.007 0.041 3.532 -3.415 0.05 qd_soft ~naval [50] 1 1
56 1 30 50 100.0 15.0 0.947 3.195 0.007 0.025 3.203 -3.428 0.05 qd_soft ~naval [50] 1 1
57 1 30 50 100.0 25.0 0.952 3.249 0.008 0.007 3.252 -3.422 0.05 qd_soft ~naval [50] 1 1
58 1 30 50 160.0 5.0 0.9 3.088 0.008 -0.012 3.515 -3.377 0.05 qd_soft ~naval [50] 1 1
59 1 30 50 160.0 15.0 0.931 3.195 0.008 0.001 3.377 -3.408 0.05 qd_soft ~naval [50] 1 1
60 1 30 50 160.0 25.0 0.943 3.237 0.008 0.002 3.28 -3.418 0.05 qd_soft ~naval [50] 1 1
61 1 30 50 200.0 5.0 0.911 3.099 0.008 0.007 3.369 -3.388 0.05 qd_soft ~naval [50] 1 1
62 1 30 50 200.0 15.0 0.946 3.209 0.008 0.009 3.222 -3.417 0.05 qd_soft ~naval [50] 1 1
63 1 30 50 200.0 25.0 0.951 3.237 0.008 0.003 3.243 -3.413 0.05 qd_soft ~naval [50] 1 1
64 1 30 75 100.0 5.0 0.913 3.114 0.008 0.014 3.359 -3.403 0.05 qd_soft ~naval [75] 1 1
65 1 30 75 100.0 15.0 0.946 3.207 0.008 0.017 3.218 -3.422 0.05 qd_soft ~naval [75] 1 1
66 1 30 75 100.0 25.0 0.958 3.273 0.008 0.007 3.278 -3.425 0.05 qd_soft ~naval [75] 1 1
67 1 30 75 160.0 5.0 0.918 3.143 0.008 0.011 3.324 -3.406 0.05 qd_soft ~naval [75] 1 1
68 1 30 75 160.0 15.0 0.932 3.202 0.008 -0.005 3.372 -3.402 0.05 qd_soft ~naval [75] 1 1
69 1 30 75 160.0 25.0 0.947 3.263 0.008 -0.001 3.279 -3.411 0.05 qd_soft ~naval [75] 1 1
70 1 30 75 200.0 5.0 0.916 3.121 0.008 0.02 3.332 -3.405 0.05 qd_soft ~naval [75] 1 1
71 1 30 75 200.0 15.0 0.944 3.201 0.008 0.007 3.221 -3.414 0.05 qd_soft ~naval [75] 1 1
