EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
211 naval 1 20 5000 0.001 1 50 0.5 0 0.05 0.00624 0.99965 0.07471 0.00633 0.99814 0.0757 0.00616 1.0 0.07377
601 naval 2 10 5000 0.01 1 75 0.1 0 0.05 0.0199 0.92831 0.22601 0.01982 0.9446 0.22835 0.01972 0.94137 0.22664
31 naval 1 10 5000 0.001 1 50 0.5 0 0.05 0.00565 0.97602 0.06616 0.0057 0.96974 0.06619 0.00548 0.97655 0.06404
402 naval 1 30 5000 0.0001 1 50 0.1 0.001 0.05 0.03736 0.94704 0.43186 0.0371 0.93994 0.42185 0.03691 0.94137 0.42128
212 naval 1 20 5000 0.001 1 50 0.5 0.001 0.05 0.03607 0.91771 0.36777 0.03828 0.91108 0.383 0.03554 0.90704 0.3543
602 naval 2 10 5000 0.01 1 75 0.1 0.001 0.05 0.0836 0.97556 0.99862 0.08403 0.96927 0.99831 0.08353 0.9799 0.9986
32 naval 1 10 5000 0.001 1 50 0.5 0.001 0.05 0.03442 0.94332 0.38907 0.0348 0.946 0.38932 0.03383 0.9397 0.37929
403 naval 1 30 5000 0.0001 1 50 0.1 0.01 0.05 0.08348 0.95321 0.99643 0.08349 0.95577 0.9965 0.08356 0.94556 0.99651
213 naval 1 20 5000 0.001 1 50 0.5 0.01 0.05 0.08354 0.94984 0.99424 0.08359 0.95112 0.99422 0.08361 0.94305 0.99424
603 naval 2 10 5000 0.01 1 75 0.1 0.01 0.05 0.08563 0.99895 1.0308 0.08562 0.99767 1.03071 0.08562 1.0 1.03077
33 naval 1 10 5000 0.001 1 50 0.5 0.01 0.05 0.08367 0.97754 0.99865 0.08377 0.97253 0.99864 0.08384 0.96734 0.99857
404 naval 1 30 5000 0.0001 1 50 0.1 0.1 0.05 0.08684 0.90712 0.92301 0.08651 0.90829 0.92297 0.08829 0.89866 0.92296
214 naval 1 20 5000 0.001 1 50 0.5 0.1 0.05 0.08616 0.92377 0.93712 0.08595 0.92598 0.937 0.0874 0.9129 0.93723
604 naval 2 10 5000 0.01 1 75 0.1 0.1 0.05 0.08537 0.93471 0.96698 0.08568 0.93156 0.9667 0.08577 0.93467 0.96687
34 naval 1 10 5000 0.001 1 50 0.5 0.1 0.05 0.08572 0.92144 0.94585 0.08604 0.91713 0.94586 0.08701 0.90955 0.9453
405 naval 1 30 5000 0.0001 1 50 0.1 1 0.05 0.20186 0.57914 0.6023 0.20324 0.57821 0.60229 0.21023 0.56784 0.60229
215 naval 1 20 5000 0.001 1 50 0.5 1 0.05 0.19896 0.61674 0.60688 0.20168 0.60615 0.60686 0.20757 0.61139 0.6069
605 naval 2 10 5000 0.01 1 75 0.1 1 0.05 0.18808 0.60975 0.63479 0.18757 0.62197 0.6345 0.18219 0.6139 0.63473
35 naval 1 10 5000 0.001 1 50 0.5 1 0.05 0.19463 0.59381 0.61567 0.19394 0.59823 0.61567 0.20282 0.58794 0.61573
406 naval 1 30 5000 0.0001 1 50 0.25 0 0.05 0.01027 0.95752 0.1134 0.01 0.95345 0.10888 0.01057 0.95477 0.1122
216 naval 1 20 5000 0.001 1 50 0.75 0 0.05 0.00624 0.99965 0.07471 0.00633 0.99814 0.0757 0.00616 1.0 0.07377
606 naval 2 10 5000 0.01 1 75 0.25 0 0.05 0.0199 0.92831 0.22601 0.01982 0.9446 0.22835 0.01972 0.94137 0.22664
36 naval 1 10 5000 0.001 1 50 0.75 0 0.05 0.00565 0.97602 0.06616 0.0057 0.96974 0.06619 0.00548 0.97655 0.06404
