EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
34 kin8nm 1 10 5000 0.001 1 50 0.5 0.1 0.05 0.09785 0.92471 0.59431 0.09413 0.93763 0.59464 0.0979 0.93049 0.59458
207 kin8nm 1 20 5000 0.001 1 50 0.25 0.001 0.05 0.04153 0.98321 0.29218 0.04491 0.96678 0.29027 0.04435 0.96463 0.29527
35 kin8nm 1 10 5000 0.001 1 50 0.5 1 0.05 0.23401 0.61642 0.34132 0.21791 0.63051 0.34129 0.23001 0.61463 0.34123
208 kin8nm 1 20 5000 0.001 1 50 0.25 0.01 0.05 0.07472 0.93641 0.46494 0.07712 0.93898 0.47261 0.07758 0.93415 0.46432
36 kin8nm 1 10 5000 0.001 1 50 0.75 0 0.05 0.02892 0.90436 0.17723 0.0406 0.86102 0.17598 0.04376 0.86585 0.17802
209 kin8nm 1 20 5000 0.001 1 50 0.25 0.1 0.05 0.10034 0.91165 0.57226 0.10315 0.90508 0.57475 0.10193 0.89878 0.57289
37 kin8nm 1 10 5000 0.001 1 50 0.75 0.001 0.05 0.03927 0.95913 0.26203 0.04374 0.9322 0.26031 0.04558 0.91829 0.26392
210 kin8nm 1 20 5000 0.001 1 50 0.25 1 0.05 0.24273 0.60607 0.3287 0.26 0.58305 0.32896 0.24545 0.60244 0.32865
38 kin8nm 1 10 5000 0.001 1 50 0.75 0.01 0.05 0.07388 0.95099 0.48528 0.07319 0.95593 0.4871 0.07528 0.94512 0.4836
211 kin8nm 1 20 5000 0.001 1 50 0.5 0 0.05 0.02918 0.97982 0.20815 0.04059 0.89356 0.20775 0.03738 0.91463 0.21041
39 kin8nm 1 10 5000 0.001 1 50 0.75 0.1 0.05 0.09785 0.92471 0.59431 0.09413 0.93763 0.59464 0.0979 0.93049 0.59458
212 kin8nm 1 20 5000 0.001 1 50 0.5 0.001 0.05 0.04153 0.98321 0.29218 0.04491 0.96678 0.29027 0.04435 0.96463 0.29527
40 kin8nm 1 10 5000 0.001 1 50 0.75 1 0.05 0.23401 0.61642 0.34132 0.21791 0.63051 0.34129 0.23001 0.61463 0.34123
213 kin8nm 1 20 5000 0.001 1 50 0.5 0.01 0.05 0.07472 0.93641 0.46494 0.07712 0.93898 0.47261 0.07758 0.93415 0.46432
41 kin8nm 1 10 5000 0.0001 1 50 0.1 0 0.05 0.03128 0.96337 0.22156 0.04234 0.9078 0.21965 0.03951 0.91951 0.22408
214 kin8nm 1 20 5000 0.001 1 50 0.5 0.1 0.05 0.10034 0.91165 0.57226 0.10315 0.90508 0.57475 0.10193 0.89878 0.57289
42 kin8nm 1 10 5000 0.0001 1 50 0.1 0.001 0.05 0.03809 0.96337 0.25719 0.04317 0.93085 0.25479 0.0433 0.92073 0.25714
215 kin8nm 1 20 5000 0.001 1 50 0.5 1 0.05 0.24273 0.60607 0.3287 0.26 0.58305 0.32896 0.24545 0.60244 0.32865
401 kin8nm 1 30 5000 0.0001 1 50 0.1 0 0.05 0.02958 0.95828 0.20789 0.04008 0.90102 0.20687 0.04177 0.8939 0.21325
43 kin8nm 1 10 5000 0.0001 1 50 0.1 0.01 0.05 0.07378 0.94879 0.48191 0.07308 0.95458 0.48377 0.07531 0.94268 0.4804
601 kin8nm 2 10 5000 0.01 1 75 0.1 0 0.05 0.03459 0.93827 0.21039 0.04175 0.90915 0.21022 0.03996 0.91829 0.21036
216 kin8nm 1 20 5000 0.001 1 50 0.75 0 0.05 0.02918 0.97982 0.20815 0.04059 0.89356 0.20775 0.03738 0.91463 0.21041
402 kin8nm 1 30 5000 0.0001 1 50 0.1 0.001 0.05 0.03644 0.96812 0.24782 0.04341 0.92814 0.24915 0.04066 0.93293 0.25092
44 kin8nm 1 10 5000 0.0001 1 50 0.1 0.1 0.05 0.09836 0.92132 0.58881 0.09457 0.93085 0.58912 0.09833 0.92195 0.5891
217 kin8nm 1 20 5000 0.001 1 50 0.75 0.001 0.05 0.04153 0.98321 0.29218 0.04491 0.96678 0.29027 0.04435 0.96463 0.29527
602 kin8nm 2 10 5000 0.01 1 75 0.1 0.001 0.05 0.05569 0.92759 0.32676 0.06034 0.90508 0.3271 0.05781 0.92683 0.326
403 kin8nm 1 30 5000 0.0001 1 50 0.1 0.01 0.05 0.07404 0.95031 0.48395 0.07397 0.9478 0.48223 0.07561 0.94512 0.48201
45 kin8nm 1 10 5000 0.0001 1 50 0.1 1 0.05 0.23654 0.61285 0.33874 0.22032 0.62847 0.33872 0.23252 0.61098 0.33868
218 kin8nm 1 20 5000 0.001 1 50 0.75 0.01 0.05 0.07472 0.93641 0.46494 0.07712 0.93898 0.47261 0.07758 0.93415 0.46432
603 kin8nm 2 10 5000 0.01 1 75 0.1 0.01 0.05 0.0804 0.97338 0.56545 0.08236 0.96814 0.56412 0.08145 0.97317 0.56649
404 kin8nm 1 30 5000 0.0001 1 50 0.1 0.1 0.05 0.09807 0.91996 0.58547 0.09851 0.92407 0.58578 0.09883 0.91951 0.58579
46 kin8nm 1 10 5000 0.0001 1 50 0.25 0 0.05 0.03128 0.96337 0.22156 0.04234 0.9078 0.21965 0.03951 0.91951 0.22408
219 kin8nm 1 20 5000 0.001 1 50 0.75 0.1 0.05 0.10034 0.91165 0.57226 0.10315 0.90508 0.57475 0.10193 0.89878 0.57289
604 kin8nm 2 10 5000 0.01 1 75 0.1 0.1 0.05 0.09889 0.9203 0.58482 0.09933 0.91661 0.58494 0.09993 0.92073 0.58593
405 kin8nm 1 30 5000 0.0001 1 50 0.1 1 0.05 0.23571 0.61099 0.33877 0.22777 0.6339 0.33889 0.23337 0.60854 0.33873
47 kin8nm 1 10 5000 0.0001 1 50 0.25 0.001 0.05 0.03809 0.96337 0.25719 0.04317 0.93085 0.25479 0.0433 0.92073 0.25714
220 kin8nm 1 20 5000 0.001 1 50 0.75 1 0.05 0.24273 0.60607 0.3287 0.26 0.58305 0.32896 0.24545 0.60244 0.32865
605 kin8nm 2 10 5000 0.01 1 75 0.1 1 0.05 0.24877 0.59301 0.32442 0.24734 0.60339 0.32449 0.25548 0.57927 0.32442
406 kin8nm 1 30 5000 0.0001 1 50 0.25 0 0.05 0.02958 0.95828 0.20789 0.04008 0.90102 0.20687 0.04177 0.8939 0.21325
48 kin8nm 1 10 5000 0.0001 1 50 0.25 0.01 0.05 0.07378 0.94879 0.48191 0.07308 0.95458 0.48377 0.07531 0.94268 0.4804
221 kin8nm 1 20 5000 0.0001 1 50 0.1 0 0.05 0.0333 0.96625 0.2301 0.0438 0.90508 0.22861 0.04531 0.9 0.23126
606 kin8nm 2 10 5000 0.01 1 75 0.25 0 0.05 0.03459 0.93827 0.21039 0.04175 0.90915 0.21022 0.03996 0.91829 0.21036
407 kin8nm 1 30 5000 0.0001 1 50 0.25 0.001 0.05 0.03644 0.96812 0.24782 0.04341 0.92814 0.24915 0.04066 0.93293 0.25092
49 kin8nm 1 10 5000 0.0001 1 50 0.25 0.1 0.05 0.09836 0.92132 0.58881 0.09457 0.93085 0.58912 0.09833 0.92195 0.5891
222 kin8nm 1 20 5000 0.0001 1 50 0.1 0.001 0.05 0.03789 0.95455 0.252 0.04547 0.91729 0.24983 0.04471 0.91463 0.25264
607 kin8nm 2 10 5000 0.01 1 75 0.25 0.001 0.05 0.05569 0.92759 0.32676 0.06034 0.90508 0.3271 0.05781 0.92683 0.326
408 kin8nm 1 30 5000 0.0001 1 50 0.25 0.01 0.05 0.07404 0.95031 0.48395 0.07397 0.9478 0.48223 0.07561 0.94512 0.48201
50 kin8nm 1 10 5000 0.0001 1 50 0.25 1 0.05 0.23654 0.61285 0.33874 0.22032 0.62847 0.33872 0.23252 0.61098 0.33868
223 kin8nm 1 20 5000 0.0001 1 50 0.1 0.01 0.05 0.07425 0.94353 0.47602 0.07674 0.95051 0.48362 0.07706 0.94146 0.47541
608 kin8nm 2 10 5000 0.01 1 75 0.25 0.01 0.05 0.0804 0.97338 0.56545 0.08236 0.96814 0.56412 0.08145 0.97317 0.56649
409 kin8nm 1 30 5000 0.0001 1 50 0.25 0.1 0.05 0.09807 0.91996 0.58547 0.09851 0.92407 0.58578 0.09883 0.91951 0.58579
51 kin8nm 1 10 5000 0.0001 1 50 0.5 0 0.05 0.03128 0.96337 0.22156 0.04234 0.9078 0.21965 0.03951 0.91951 0.22408
224 kin8nm 1 20 5000 0.0001 1 50 0.1 0.1 0.05 0.09927 0.9186 0.57986 0.1023 0.90915 0.58222 0.10076 0.90976 0.58052
609 kin8nm 2 10 5000 0.01 1 75 0.25 0.1 0.05 0.09889 0.9203 0.58482 0.09933 0.91661 0.58494 0.09993 0.92073 0.58593
410 kin8nm 1 30 5000 0.0001 1 50 0.25 1 0.05 0.23571 0.61099 0.33877 0.22777 0.6339 0.33889 0.23337 0.60854 0.33873
52 kin8nm 1 10 5000 0.0001 1 50 0.5 0.001 0.05 0.03809 0.96337 0.25719 0.04317 0.93085 0.25479 0.0433 0.92073 0.25714
