EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
48 1 20 [100] 160.0 5.0 0.4 0.916 0.718 4.062 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
49 1 20 [100] 160.0 15.0 0.05 0.945 0.821 4.127 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
50 1 20 [100] 160.0 15.0 0.2 0.939 0.803 4.118 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
51 1 20 [100] 160.0 15.0 0.4 0.941 0.791 4.108 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
52 1 20 [100] 160.0 20.0 0.05 0.952 0.843 4.172 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
53 1 20 [100] 160.0 20.0 0.2 0.941 0.828 4.18 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
54 1 20 [100] 160.0 20.0 0.4 0.934 0.81 4.113 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
55 1 30 [50] 160.0 5.0 0.05 0.926 0.759 4.148 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
56 1 30 [50] 160.0 5.0 0.2 0.929 0.754 4.147 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
57 1 30 [50] 160.0 5.0 0.4 0.921 0.743 4.103 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
58 1 30 [50] 160.0 15.0 0.05 0.948 0.833 4.163 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
59 1 30 [50] 160.0 15.0 0.2 0.933 0.818 4.181 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
60 1 30 [50] 160.0 15.0 0.4 0.936 0.811 4.139 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
61 1 30 [50] 160.0 20.0 0.05 0.947 0.841 4.175 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
62 1 30 [50] 160.0 20.0 0.2 0.946 0.839 4.17 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
63 1 30 [50] 160.0 20.0 0.4 0.944 0.825 4.148 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
64 1 30 [75] 160.0 5.0 0.05 0.926 0.751 4.121 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
65 1 30 [75] 160.0 5.0 0.2 0.921 0.745 4.1 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
66 1 30 [75] 160.0 5.0 0.4 0.92 0.724 4.05 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
67 1 30 [75] 160.0 15.0 0.05 0.94 0.824 4.145 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
68 1 30 [75] 160.0 15.0 0.2 0.937 0.809 4.152 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
69 1 30 [75] 160.0 15.0 0.4 0.937 0.796 4.094 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
70 1 30 [75] 160.0 20.0 0.05 0.943 0.842 4.173 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
71 1 30 [75] 160.0 20.0 0.2 0.94 0.83 4.139 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
72 1 30 [75] 160.0 20.0 0.4 0.938 0.81 4.089 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
73 1 30 [100] 160.0 5.0 0.05 0.931 0.756 4.129 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
74 1 30 [100] 160.0 5.0 0.2 0.925 0.74 4.07 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
75 1 30 [100] 160.0 5.0 0.4 0.914 0.719 4.047 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
76 1 30 [100] 160.0 15.0 0.05 0.947 0.822 4.156 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
77 1 30 [100] 160.0 15.0 0.2 0.94 0.81 4.115 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
78 1 30 [100] 160.0 15.0 0.4 0.939 0.792 4.104 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
79 1 30 [100] 160.0 20.0 0.05 0.949 0.84 4.168 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
80 1 30 [100] 160.0 20.0 0.2 0.944 0.827 4.147 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
81 1 30 [100] 160.0 20.0 0.4 0.94 0.817 4.086 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
82 2 10 [50] 160.0 5.0 0.05 0.924 0.756 3.995 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
83 2 10 [50] 160.0 5.0 0.2 0.911 0.741 3.972 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
84 2 10 [50] 160.0 5.0 0.4 0.912 0.729 3.955 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
85 2 10 [50] 160.0 15.0 0.05 0.941 0.826 4.052 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
86 2 10 [50] 160.0 15.0 0.2 0.941 0.812 4.052 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
87 2 10 [50] 160.0 15.0 0.4 0.931 0.807 4.035 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
88 2 10 [50] 160.0 20.0 0.05 0.95 0.834 4.04 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
89 2 10 [50] 160.0 20.0 0.2 0.945 0.832 4.054 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
90 2 10 [50] 160.0 20.0 0.4 0.935 0.824 4.085 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
91 2 10 [75] 160.0 5.0 0.05 0.921 0.742 3.984 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
92 2 10 [75] 160.0 5.0 0.2 0.913 0.735 3.967 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
93 2 10 [75] 160.0 5.0 0.4 0.905 0.708 3.935 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
94 2 10 [75] 160.0 15.0 0.05 0.939 0.808 4.029 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
95 2 10 [75] 160.0 15.0 0.2 0.943 0.802 3.994 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
96 2 10 [75] 160.0 15.0 0.4 0.935 0.785 3.978 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
97 2 10 [75] 160.0 20.0 0.05 0.951 0.828 4.029 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
98 2 10 [75] 160.0 20.0 0.2 0.939 0.818 3.998 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
99 2 10 [75] 160.0 20.0 0.4 0.943 0.805 3.985 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
100 2 10 [100] 160.0 5.0 0.05 0.92 0.743 3.993 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
101 2 10 [100] 160.0 5.0 0.2 0.912 0.725 3.97 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
102 2 10 [100] 160.0 5.0 0.4 0.901 0.706 3.951 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
103 2 10 [100] 160.0 15.0 0.05 0.941 0.813 3.978 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
104 2 10 [100] 160.0 15.0 0.2 0.933 0.793 3.979 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
105 2 10 [100] 160.0 15.0 0.4 0.935 0.778 3.962 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
106 2 10 [100] 160.0 20.0 0.05 0.94 0.824 4.037 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
107 2 10 [100] 160.0 20.0 0.2 0.939 0.812 3.974 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
108 2 10 [100] 160.0 20.0 0.4 0.933 0.789 3.969 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
109 2 20 [50] 160.0 5.0 0.05 0.917 0.75 4.011 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
110 2 20 [50] 160.0 5.0 0.2 0.916 0.753 3.988 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
111 2 20 [50] 160.0 5.0 0.4 0.924 0.731 3.943 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
112 2 20 [50] 160.0 15.0 0.05 0.944 0.815 4.033 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
113 2 20 [50] 160.0 15.0 0.2 0.948 0.821 4.036 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
114 2 20 [50] 160.0 15.0 0.4 0.939 0.817 3.955 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
115 2 20 [50] 160.0 20.0 0.05 0.949 0.835 4.031 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
116 2 20 [50] 160.0 20.0 0.2 0.945 0.825 3.992 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
117 2 20 [50] 160.0 20.0 0.4 0.945 0.817 3.983 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
118 2 20 [75] 160.0 5.0 0.05 0.92 0.743 3.966 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
119 2 20 [75] 160.0 5.0 0.2 0.914 0.735 3.983 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
