EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
56 1 30 [50] 160.0 5.0 0.2 0.786 0.635 5.575 0.05 [50] 800 0.03 0.98 1 1
57 1 30 [50] 160.0 5.0 0.4 0.777 0.634 5.182 0.05 [50] 800 0.03 0.98 1 1
58 1 30 [50] 160.0 15.0 0.05 0.864 0.875 5.931 0.05 [50] 800 0.03 0.98 1 1
59 1 30 [50] 160.0 15.0 0.2 0.854 0.846 5.666 0.05 [50] 800 0.03 0.98 1 1
60 1 30 [50] 160.0 15.0 0.4 0.806 0.713 5.672 0.05 [50] 800 0.03 0.98 1 1
61 1 30 [50] 160.0 20.0 0.05 0.845 0.813 5.414 0.05 [50] 800 0.03 0.98 1 1
62 1 30 [50] 160.0 20.0 0.2 0.825 0.859 6.023 0.05 [50] 800 0.03 0.98 1 1
63 1 30 [50] 160.0 20.0 0.4 0.845 0.827 5.586 0.05 [50] 800 0.03 0.98 1 1
64 1 30 [75] 160.0 5.0 0.05 0.816 0.702 5.585 0.05 [75] 800 0.03 0.98 1 1
65 1 30 [75] 160.0 5.0 0.2 0.796 0.672 5.343 0.05 [75] 800 0.03 0.98 1 1
66 1 30 [75] 160.0 5.0 0.4 0.786 0.616 5.709 0.05 [75] 800 0.03 0.98 1 1
67 1 30 [75] 160.0 15.0 0.05 0.864 0.914 6.264 0.05 [75] 800 0.03 0.98 1 1
68 1 30 [75] 160.0 15.0 0.2 0.825 0.749 5.465 0.05 [75] 800 0.03 0.98 1 1
69 1 30 [75] 160.0 15.0 0.4 0.854 0.852 5.74 0.05 [75] 800 0.03 0.98 1 1
70 1 30 [75] 160.0 20.0 0.05 0.874 0.885 6.058 0.05 [75] 800 0.03 0.98 1 1
71 1 30 [75] 160.0 20.0 0.2 0.874 0.842 5.492 0.05 [75] 800 0.03 0.98 1 1
72 1 30 [75] 160.0 20.0 0.4 0.883 0.88 5.74 0.05 [75] 800 0.03 0.98 1 1
73 1 30 [100] 160.0 5.0 0.05 0.796 0.692 5.216 0.05 [100] 800 0.03 0.98 1 1
74 1 30 [100] 160.0 5.0 0.2 0.835 0.67 5.238 0.05 [100] 800 0.03 0.98 1 1
75 1 30 [100] 160.0 5.0 0.4 0.767 0.697 5.728 0.05 [100] 800 0.03 0.98 1 1
76 1 30 [100] 160.0 15.0 0.05 0.825 0.809 5.949 0.05 [100] 800 0.03 0.98 1 1
77 1 30 [100] 160.0 15.0 0.2 0.864 0.836 5.496 0.05 [100] 800 0.03 0.98 1 1
78 1 30 [100] 160.0 15.0 0.4 0.913 0.881 5.179 0.05 [100] 800 0.03 0.98 1 1
79 1 30 [100] 160.0 20.0 0.05 0.835 0.816 5.884 0.05 [100] 800 0.03 0.98 1 1
80 1 30 [100] 160.0 20.0 0.2 0.854 0.872 5.671 0.05 [100] 800 0.03 0.98 1 1
81 1 30 [100] 160.0 20.0 0.4 0.903 0.923 5.305 0.05 [100] 800 0.03 0.98 1 1
