EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
55 1 30 [50] 160.0 5.0 0.05 0.792 0.556 4.12 0.05 [50] 1200 0.016 0.97 1 1
56 1 30 [50] 160.0 5.0 0.2 0.805 0.478 3.868 0.05 [50] 1200 0.016 0.97 1 1
57 1 30 [50] 160.0 5.0 0.4 0.857 0.535 3.055 0.05 [50] 1200 0.016 0.97 1 1
58 1 30 [50] 160.0 15.0 0.05 0.87 0.678 3.442 0.05 [50] 1200 0.016 0.97 1 1
59 1 30 [50] 160.0 15.0 0.2 0.844 0.654 3.821 0.05 [50] 1200 0.016 0.97 1 1
60 1 30 [50] 160.0 15.0 0.4 0.792 0.636 3.482 0.05 [50] 1200 0.016 0.97 1 1
61 1 30 [50] 160.0 20.0 0.05 0.831 0.658 3.787 0.05 [50] 1200 0.016 0.97 1 1
62 1 30 [50] 160.0 20.0 0.2 0.87 0.639 3.251 0.05 [50] 1200 0.016 0.97 1 1
63 1 30 [50] 160.0 20.0 0.4 0.87 0.629 3.173 0.05 [50] 1200 0.016 0.97 1 1
64 1 30 [75] 160.0 5.0 0.05 0.857 0.467 3.855 0.05 [75] 1200 0.016 0.97 1 1
65 1 30 [75] 160.0 5.0 0.2 0.805 0.507 2.902 0.05 [75] 1200 0.016 0.97 1 1
66 1 30 [75] 160.0 5.0 0.4 0.753 0.395 2.532 0.05 [75] 1200 0.016 0.97 1 1
67 1 30 [75] 160.0 15.0 0.05 0.818 0.611 3.137 0.05 [75] 1200 0.016 0.97 1 1
68 1 30 [75] 160.0 15.0 0.2 0.87 0.606 3.206 0.05 [75] 1200 0.016 0.97 1 1
69 1 30 [75] 160.0 15.0 0.4 0.766 0.55 3.002 0.05 [75] 1200 0.016 0.97 1 1
70 1 30 [75] 160.0 20.0 0.05 0.857 0.655 3.338 0.05 [75] 1200 0.016 0.97 1 1
71 1 30 [75] 160.0 20.0 0.2 0.857 0.663 3.402 0.05 [75] 1200 0.016 0.97 1 1
72 1 30 [75] 160.0 20.0 0.4 0.844 0.604 3.257 0.05 [75] 1200 0.016 0.97 1 1
73 1 30 [100] 160.0 5.0 0.05 0.805 0.524 2.907 0.05 [100] 1200 0.016 0.97 1 1
74 1 30 [100] 160.0 5.0 0.2 0.766 0.421 3.507 0.05 [100] 1200 0.016 0.97 1 1
75 1 30 [100] 160.0 5.0 0.4 0.727 0.403 2.422 0.05 [100] 1200 0.016 0.97 1 1
76 1 30 [100] 160.0 15.0 0.05 0.857 0.591 3.014 0.05 [100] 1200 0.016 0.97 1 1
77 1 30 [100] 160.0 15.0 0.2 0.779 0.581 3.074 0.05 [100] 1200 0.016 0.97 1 1
78 1 30 [100] 160.0 15.0 0.4 0.727 0.521 2.933 0.05 [100] 1200 0.016 0.97 1 1
79 1 30 [100] 160.0 20.0 0.05 0.818 0.663 3.353 0.05 [100] 1200 0.016 0.97 1 1
80 1 30 [100] 160.0 20.0 0.2 0.792 0.643 3.318 0.05 [100] 1200 0.016 0.97 1 1
81 1 30 [100] 160.0 20.0 0.4 0.766 0.596 3.267 0.05 [100] 1200 0.016 0.97 1 1
82 2 10 [50] 160.0 5.0 0.05 0.818 0.461 3.141 0.05 [50] 1200 0.016 0.97 1 1
83 2 10 [50] 160.0 5.0 0.2 0.766 0.425 2.492 0.05 [50] 1200 0.016 0.97 1 1
84 2 10 [50] 160.0 5.0 0.4 0.766 0.492 2.606 0.05 [50] 1200 0.016 0.97 1 1
85 2 10 [50] 160.0 15.0 0.05 0.844 0.607 2.754 0.05 [50] 1200 0.016 0.97 1 1
86 2 10 [50] 160.0 15.0 0.2 0.896 0.652 2.963 0.05 [50] 1200 0.016 0.97 1 1
87 2 10 [50] 160.0 15.0 0.4 0.844 0.647 2.761 0.05 [50] 1200 0.016 0.97 1 1
88 2 10 [50] 160.0 20.0 0.05 0.883 0.621 2.841 0.05 [50] 1200 0.016 0.97 1 1
89 2 10 [50] 160.0 20.0 0.2 0.896 0.635 2.683 0.05 [50] 1200 0.016 0.97 1 1
90 2 10 [50] 160.0 20.0 0.4 0.818 0.674 2.95 0.05 [50] 1200 0.016 0.97 1 1
91 2 10 [75] 160.0 5.0 0.05 0.831 0.508 2.848 0.05 [75] 1200 0.016 0.97 1 1
92 2 10 [75] 160.0 5.0 0.2 0.779 0.507 2.728 0.05 [75] 1200 0.016 0.97 1 1
93 2 10 [75] 160.0 5.0 0.4 0.675 0.454 2.476 0.05 [75] 1200 0.016 0.97 1 1
94 2 10 [75] 160.0 15.0 0.05 0.818 0.506 2.537 0.05 [75] 1200 0.016 0.97 1 1
95 2 10 [75] 160.0 15.0 0.2 0.87 0.586 2.773 0.05 [75] 1200 0.016 0.97 1 1
96 2 10 [75] 160.0 15.0 0.4 0.74 0.498 2.372 0.05 [75] 1200 0.016 0.97 1 1
97 2 10 [75] 160.0 20.0 0.05 0.909 0.632 2.93 0.05 [75] 1200 0.016 0.97 1 1
98 2 10 [75] 160.0 20.0 0.2 0.831 0.634 2.976 0.05 [75] 1200 0.016 0.97 1 1
99 2 10 [75] 160.0 20.0 0.4 0.779 0.523 2.523 0.05 [75] 1200 0.016 0.97 1 1
100 2 10 [100] 160.0 5.0 0.05 0.74 0.444 3.078 0.05 [100] 1200 0.016 0.97 1 1
101 2 10 [100] 160.0 5.0 0.2 0.714 0.439 2.51 0.05 [100] 1200 0.016 0.97 1 1
102 2 10 [100] 160.0 5.0 0.4 0.792 0.405 2.247 0.05 [100] 1200 0.016 0.97 1 1
103 2 10 [100] 160.0 15.0 0.05 0.87 0.58 2.684 0.05 [100] 1200 0.016 0.97 1 1
