EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
56 1 30 [50] 160.0 5.0 0.2 0.892 1.885 4.762 0.05 [50] 600 0.002 0.999 1 1
57 1 30 [50] 160.0 5.0 0.4 0.892 1.887 4.762 0.05 [50] 600 0.002 0.999 1 1
58 1 30 [50] 160.0 15.0 0.05 0.924 2.06 4.814 0.05 [50] 600 0.002 0.999 1 1
59 1 30 [50] 160.0 15.0 0.2 0.929 2.067 4.828 0.05 [50] 600 0.002 0.999 1 1
60 1 30 [50] 160.0 15.0 0.4 0.926 2.089 4.844 0.05 [50] 600 0.002 0.999 1 1
61 1 30 [50] 160.0 20.0 0.05 0.932 2.144 4.881 0.05 [50] 600 0.002 0.999 1 1
62 1 30 [50] 160.0 20.0 0.2 0.929 2.095 4.82 0.05 [50] 600 0.002 0.999 1 1
63 1 30 [50] 160.0 20.0 0.4 0.932 2.154 4.865 0.05 [50] 600 0.002 0.999 1 1
64 1 30 [75] 160.0 5.0 0.05 0.897 1.855 4.724 0.05 [75] 600 0.002 0.999 1 1
65 1 30 [75] 160.0 5.0 0.2 0.888 1.833 4.712 0.05 [75] 600 0.002 0.999 1 1
66 1 30 [75] 160.0 5.0 0.4 0.89 1.838 4.676 0.05 [75] 600 0.002 0.999 1 1
67 1 30 [75] 160.0 15.0 0.05 0.925 2.037 4.804 0.05 [75] 600 0.002 0.999 1 1
68 1 30 [75] 160.0 15.0 0.2 0.926 2.029 4.798 0.05 [75] 600 0.002 0.999 1 1
69 1 30 [75] 160.0 15.0 0.4 0.921 2.035 4.794 0.05 [75] 600 0.002 0.999 1 1
70 1 30 [75] 160.0 20.0 0.05 0.93 2.089 4.828 0.05 [75] 600 0.002 0.999 1 1
71 1 30 [75] 160.0 20.0 0.2 0.926 2.052 4.794 0.05 [75] 600 0.002 0.999 1 1
72 1 30 [75] 160.0 20.0 0.4 0.926 2.069 4.8 0.05 [75] 600 0.002 0.999 1 1
73 1 30 [100] 160.0 5.0 0.05 0.89 1.82 4.675 0.05 [100] 600 0.002 0.999 1 1
74 1 30 [100] 160.0 5.0 0.2 0.89 1.791 4.63 0.05 [100] 600 0.002 0.999 1 1
75 1 30 [100] 160.0 5.0 0.4 0.89 1.803 4.629 0.05 [100] 600 0.002 0.999 1 1
76 1 30 [100] 160.0 15.0 0.05 0.923 2.009 4.756 0.05 [100] 600 0.002 0.999 1 1
77 1 30 [100] 160.0 15.0 0.2 0.924 1.986 4.704 0.05 [100] 600 0.002 0.999 1 1
78 1 30 [100] 160.0 15.0 0.4 0.921 1.993 4.732 0.05 [100] 600 0.002 0.999 1 1
79 1 30 [100] 160.0 20.0 0.05 0.928 2.057 4.789 0.05 [100] 600 0.002 0.999 1 1
80 1 30 [100] 160.0 20.0 0.2 0.928 2.04 4.771 0.05 [100] 600 0.002 0.999 1 1
81 1 30 [100] 160.0 20.0 0.4 0.923 2.049 4.771 0.05 [100] 600 0.002 0.999 1 1
82 2 10 [50] 160.0 5.0 0.05 0.898 1.893 4.736 0.05 [50] 600 0.002 0.999 1 1
83 2 10 [50] 160.0 5.0 0.2 0.895 1.875 4.746 0.05 [50] 600 0.002 0.999 1 1
84 2 10 [50] 160.0 5.0 0.4 0.899 1.883 4.736 0.05 [50] 600 0.002 0.999 1 1
85 2 10 [50] 160.0 15.0 0.05 0.928 2.095 4.844 0.05 [50] 600 0.002 0.999 1 1
86 2 10 [50] 160.0 15.0 0.2 0.925 2.057 4.805 0.05 [50] 600 0.002 0.999 1 1
87 2 10 [50] 160.0 15.0 0.4 0.927 2.065 4.817 0.05 [50] 600 0.002 0.999 1 1
88 2 10 [50] 160.0 20.0 0.05 0.934 2.133 4.85 0.05 [50] 600 0.002 0.999 1 1
89 2 10 [50] 160.0 20.0 0.2 0.937 2.114 4.834 0.05 [50] 600 0.002 0.999 1 1
90 2 10 [50] 160.0 20.0 0.4 0.934 2.095 4.823 0.05 [50] 600 0.002 0.999 1 1
91 2 10 [75] 160.0 5.0 0.05 0.897 1.843 4.654 0.05 [75] 600 0.002 0.999 1 1
92 2 10 [75] 160.0 5.0 0.2 0.891 1.832 4.634 0.05 [75] 600 0.002 0.999 1 1
93 2 10 [75] 160.0 5.0 0.4 0.897 1.84 4.617 0.05 [75] 600 0.002 0.999 1 1
94 2 10 [75] 160.0 15.0 0.05 0.926 2.036 4.792 0.05 [75] 600 0.002 0.999 1 1
95 2 10 [75] 160.0 15.0 0.2 0.925 2.016 4.738 0.05 [75] 600 0.002 0.999 1 1
96 2 10 [75] 160.0 15.0 0.4 0.927 2.043 4.74 0.05 [75] 600 0.002 0.999 1 1
97 2 10 [75] 160.0 20.0 0.05 0.932 2.071 4.773 0.05 [75] 600 0.002 0.999 1 1
98 2 10 [75] 160.0 20.0 0.2 0.93 2.056 4.767 0.05 [75] 600 0.002 0.999 1 1
99 2 10 [75] 160.0 20.0 0.4 0.93 2.081 4.778 0.05 [75] 600 0.002 0.999 1 1
100 2 10 [100] 160.0 5.0 0.05 0.897 1.811 4.643 0.05 [100] 600 0.002 0.999 1 1
101 2 10 [100] 160.0 5.0 0.2 0.891 1.799 4.596 0.05 [100] 600 0.002 0.999 1 1
102 2 10 [100] 160.0 5.0 0.4 0.896 1.819 4.572 0.05 [100] 600 0.002 0.999 1 1
103 2 10 [100] 160.0 15.0 0.05 0.927 2.022 4.754 0.05 [100] 600 0.002 0.999 1 1
104 2 10 [100] 160.0 15.0 0.2 0.922 1.991 4.704 0.05 [100] 600 0.002 0.999 1 1
105 2 10 [100] 160.0 15.0 0.4 0.925 2.024 4.734 0.05 [100] 600 0.002 0.999 1 1
106 2 10 [100] 160.0 20.0 0.05 0.933 2.051 4.766 0.05 [100] 600 0.002 0.999 1 1
107 2 10 [100] 160.0 20.0 0.2 0.932 2.046 4.738 0.05 [100] 600 0.002 0.999 1 1
108 2 10 [100] 160.0 20.0 0.4 0.928 2.065 4.742 0.05 [100] 600 0.002 0.999 1 1
109 2 20 [50] 160.0 5.0 0.05 0.9 1.904 4.755 0.05 [50] 600 0.002 0.999 1 1
110 2 20 [50] 160.0 5.0 0.2 0.896 1.878 4.725 0.05 [50] 600 0.002 0.999 1 1
111 2 20 [50] 160.0 5.0 0.4 0.899 1.885 4.739 0.05 [50] 600 0.002 0.999 1 1
112 2 20 [50] 160.0 15.0 0.05 0.926 2.082 4.836 0.05 [50] 600 0.002 0.999 1 1
113 2 20 [50] 160.0 15.0 0.2 0.929 2.068 4.828 0.05 [50] 600 0.002 0.999 1 1
114 2 20 [50] 160.0 15.0 0.4 0.928 2.065 4.838 0.05 [50] 600 0.002 0.999 1 1
115 2 20 [50] 160.0 20.0 0.05 0.934 2.12 4.861 0.05 [50] 600 0.002 0.999 1 1
116 2 20 [50] 160.0 20.0 0.2 0.933 2.098 4.832 0.05 [50] 600 0.002 0.999 1 1
117 2 20 [50] 160.0 20.0 0.4 0.934 2.097 4.824 0.05 [50] 600 0.002 0.999 1 1
118 2 20 [75] 160.0 5.0 0.05 0.899 1.87 4.683 0.05 [75] 600 0.002 0.999 1 1
119 2 20 [75] 160.0 5.0 0.2 0.897 1.839 4.658 0.05 [75] 600 0.002 0.999 1 1
120 2 20 [75] 160.0 5.0 0.4 0.892 1.818 4.633 0.05 [75] 600 0.002 0.999 1 1
121 2 20 [75] 160.0 15.0 0.05 0.925 2.035 4.791 0.05 [75] 600 0.002 0.999 1 1
122 2 20 [75] 160.0 15.0 0.2 0.925 2.026 4.737 0.05 [75] 600 0.002 0.999 1 1
123 2 20 [75] 160.0 15.0 0.4 0.926 2.028 4.764 0.05 [75] 600 0.002 0.999 1 1
124 2 20 [75] 160.0 20.0 0.05 0.932 2.075 4.804 0.05 [75] 600 0.002 0.999 1 1
125 2 20 [75] 160.0 20.0 0.2 0.929 2.066 4.788 0.05 [75] 600 0.002 0.999 1 1
126 2 20 [75] 160.0 20.0 0.4 0.927 2.063 4.778 0.05 [75] 600 0.002 0.999 1 1
