EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
55 1 30 [50] 160.0 5.0 0.05 0.903 0.107 0.727 0.05 [50] 2000 0.005 0.98 1 1
56 1 30 [50] 160.0 5.0 0.2 0.871 0.105 0.719 0.05 [50] 2000 0.005 0.98 1 1
57 1 30 [50] 160.0 5.0 0.4 0.806 0.207 2.042 0.05 [50] 2000 0.005 0.98 1 1
58 1 30 [50] 160.0 15.0 0.05 0.935 0.135 0.689 0.05 [50] 2000 0.005 0.98 1 1
59 1 30 [50] 160.0 15.0 0.2 0.968 0.155 0.645 0.05 [50] 2000 0.005 0.98 1 1
60 1 30 [50] 160.0 15.0 0.4 0.806 0.294 2.561 0.05 [50] 2000 0.005 0.98 1 1
61 1 30 [50] 160.0 20.0 0.05 0.903 0.205 0.919 0.05 [50] 2000 0.005 0.98 1 1
62 1 30 [50] 160.0 20.0 0.2 0.935 0.158 0.752 0.05 [50] 2000 0.005 0.98 1 1
63 1 30 [50] 160.0 20.0 0.4 0.871 0.384 3.106 0.05 [50] 2000 0.005 0.98 1 1
64 1 30 [75] 160.0 5.0 0.05 0.903 0.139 0.701 0.05 [75] 2000 0.005 0.98 1 1
65 1 30 [75] 160.0 5.0 0.2 0.903 0.11 0.636 0.05 [75] 2000 0.005 0.98 1 1
66 1 30 [75] 160.0 5.0 0.4 0.839 0.183 1.544 0.05 [75] 2000 0.005 0.98 1 1
67 1 30 [75] 160.0 15.0 0.05 0.903 0.134 0.73 0.05 [75] 2000 0.005 0.98 1 1
68 1 30 [75] 160.0 15.0 0.2 1.0 0.187 0.659 0.05 [75] 2000 0.005 0.98 1 1
69 1 30 [75] 160.0 15.0 0.4 0.935 0.364 2.062 0.05 [75] 2000 0.005 0.98 1 1
70 1 30 [75] 160.0 20.0 0.05 0.935 0.135 0.736 0.05 [75] 2000 0.005 0.98 1 1
71 1 30 [75] 160.0 20.0 0.2 0.968 0.165 0.857 0.05 [75] 2000 0.005 0.98 1 1
72 1 30 [75] 160.0 20.0 0.4 0.839 0.333 2.183 0.05 [75] 2000 0.005 0.98 1 1
73 1 30 [100] 160.0 5.0 0.05 0.871 0.111 0.711 0.05 [100] 2000 0.005 0.98 1 1
74 1 30 [100] 160.0 5.0 0.2 0.839 0.116 0.752 0.05 [100] 2000 0.005 0.98 1 1
75 1 30 [100] 160.0 5.0 0.4 0.516 0.212 2.929 0.05 [100] 2000 0.005 0.98 1 1
76 1 30 [100] 160.0 15.0 0.05 0.935 0.137 0.547 0.05 [100] 2000 0.005 0.98 1 1
77 1 30 [100] 160.0 15.0 0.2 1.0 0.229 0.727 0.05 [100] 2000 0.005 0.98 1 1
78 1 30 [100] 160.0 15.0 0.4 0.806 0.42 3.272 0.05 [100] 2000 0.005 0.98 1 1
79 1 30 [100] 160.0 20.0 0.05 0.903 0.167 0.676 0.05 [100] 2000 0.005 0.98 1 1
80 1 30 [100] 160.0 20.0 0.2 0.968 0.304 1.544 0.05 [100] 2000 0.005 0.98 1 1
